"","address","availability","groups","languages","billing","zipcode"
"667","via Soldini 36 6830 Chiasso Switzerland","Two to four weeks","Adults Young adults Couples Teenagers Children Groups","French Italian","Covered by basic insurance To be paid by yourself",6830
"668","Consultation de l'enfant et de l'adolescent Avenue de la Gare 1 1003 Lausanne Switzerland","At least four weeks","Young adults Families Teenagers Children","French","Covered by basic insurance",1003
"669","Epsylon psychothérapie Bvd de Pérolles 26 1700 Fribourg Switzerland","At least four weeks","Adults Young adults Teams Groups Senior management","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1700
"670","Av. Ruchonnet 57 1003 Lausanne Switzerland Av. Ruchonnet 57 1003 Lausanne Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance To be paid by yourself",1003
"671","Saint-Laurent Psychothérapie Rue Haldimand 14 1003 Lausanne Switzerland","At least four weeks","Adults Young adults Couples","French Croatian","Covered by basic insurance",1003
"672","Psychotherapeutische Tagesklinik der Klinik Schützen Bahnhofstrasse 19 4310 Rheinfelden Switzerland","No date currently available","Adults Young adults","German French","Covered by basic insurance",4310
"673","der Raum Freiestrasse 80 8032 Zürich Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German","Covered by basic insurance",8032
"674","Mental-Total Rue de Morat 9 1700 Fribourg Switzerland","Less than two weeks","Adults Young adults Teenagers Teams Senior management","German French Czech English Slovakian","To be paid by yourself",1700
"675","- - - Switzerland","No date currently available","Families","German French Italian English","To be paid by yourself",NA
"676","Rigistrasse 6 8006 Zürich Switzerland","No date currently available","Adults Young adults Teenagers","German English Spanish","Covered by basic insurance To be paid by yourself",8006
"677","Praxis für Integrative Psychotherapie, Coaching und Supervision Holeestrasse 147 4054 Basel Switzerland","No date currently available","Older adults Adults Young adults Teams Senior management","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4054
"678","Praxis Dr. phil. Katharina Rast Klosbachstrasse 106 8032 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teenagers Groups Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8032
"679","Praxisgemeinschaft 4P Bergstrasse 122 8032 Zürich Switzerland","Two to four weeks","Adults Young adults Senior management","German Swiss German Italian English","Covered by basic insurance To be paid by yourself",8032
"680","Familienpraxis im Seefeld Ceresstrasse 7 8008 Zürich Switzerland Familienpraxis c/o Bergpraxis Hirzel Bergstrasse 1 8816 Hirzel Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"681","Praxis für Psychotherapie Nordstrasse 19 8006 Zürich Switzerland Psychotherapeutische Praxisstelle Uni Bern Gesellschaftsstrasse 49 3012 Bern Switzerland","At least four weeks","Adults Young adults Couples Teams Senior management","German French English","Covered by basic insurance To be paid by yourself",8006
"682","Praxis für Psychotherapie und Begutachtung Bankstrasse 10 8610 Uster Switzerland","Less than two weeks","Older adults Adults Young adults Teenagers","German Swiss German","Partially covered by supplementary insurance",8610
"683","Psychotherapeutische Praxis T. Reimann Feldeggstrasse 32 8008 Zürich Switzerland","No date currently available","Young adults Families Children","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"684","Kind Im Zentrum Mutschellenstrasse 189 8038 Zürich Switzerland","At least four weeks","Young adults Families Teenagers Children","German Swiss German Italian","Covered by basic insurance To be paid by yourself",8038
"685","Praxis für Psychotherapie, Beratung und Coaching Alte Jonastrasse 24 8640 Rapperswil SG Switzerland Praxis für Psychotherapie, Beratung und Coaching Alte Jonastrasse 24 8640 Rapperswil SG United States","At least four weeks","Couples Families Teenagers Adults Children Young adults","German Swiss German French English","Covered by basic insurance",8640
"686","Psychotherapeutische Zytgloggelaube 2 3011 Bern Switzerland","Two to four weeks","Older adults Adults Young adults","German","Covered by basic insurance",3011
"687","Emile-Yung, 6 1205 Genève Switzerland","Two to four weeks","Adults Young adults Senior management Couples","French","Covered by basic insurance",1205
"688","Hélène Rey Ruf Antoine Carteret 6 1202 Genève Switzerland","At least four weeks","Older adults Adults Young adults Senior management","French","Covered by basic insurance",1202
"689","Obergrundstrasse 96 6005 Luzern Switzerland","No date currently available","Adults Young adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance",6005
"690","Psychotherapeutische Praxis für Kinder und Jugendliche Schlüsselweg 3 8810 Horgen Switzerland","At least four weeks","Young adults Teenagers Children","German Swiss German","Covered by basic insurance To be paid by yourself",8810
"691","Atelier Kaléido-scope 2, Place de la Gare 3960 Sierre Switzerland","Less than two weeks","Older adults Teenagers Adults Young adults Senior management","German French","Covered by basic insurance",3960
"692","Niederdorfstr. 18 8001 Zürich Switzerland Kirchenstreit. 13 6300 Zug Switzerland","Two to four weeks","Older adults Couples Teams Adults Teenagers Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8001
"693","CAPSAF Grand Rue 18 1315 La Sarraz Switzerland","No date currently available","Adults Young adults Families Teenagers Children Teams Groups Senior management","French","Covered by basic insurance",1315
"694","Therapiezentrum Hirschenplatz - Ritz Paula Niederdorfstrasse 18 8001 Zürich Switzerland","At least four weeks","Older adults Couples Families Adults Senior management","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8001
"695","Praxis für Psychotherapie, Beratung und Coaching Schulhausstrasse 5 4900 Langenthal Switzerland","Two to four weeks","Older adults Adults Young adults Couples Senior management","German","Covered by basic insurance",4900
"696","Praxis für Psychotherapie und psychologische Beratung Bahnhofstrasse 12 3900 Brig Switzerland","At least four weeks","Older adults Adults Young adults Teenagers Children","German","Covered by basic insurance",3900
"697","Psychologin Mónica Riveros Nünenenweg 33 3123 Belp Switzerland","Less than two weeks","Adults Young adults Couples Teenagers Senior management","Italian Spanish","Partially covered by supplementary insurance To be paid by yourself",3123
"698","Psychotherapie Bellevue Zürich | DerRedeWert GmbH Rämistrasse 5 8001 Zürich Switzerland","No date currently available","Adults Young adults Teams Groups Senior management","German Italian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8001
"699","Florence Gabris Rue de l'Evole 29 2000 Neuchâtel Switzerland","No date currently available","Adults Young adults Teenagers Teams Groups Senior management","French","Covered by basic insurance",2000
"700","Patricia Roberts Chemin du Pré de la Tour 11 1009 Pully Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Groups","French","Partially covered by supplementary insurance Covered by basic insurance",1009
"701","rue de la Tour Maîtresse 4 1204 GENEVE Switzerland","At least four weeks","Adults Young adults Teenagers","French","Covered by basic insurance",1204
"702","Koni Rohner Jakob Kaiserweg 3 8603 Schwerzenbach Switzerland","Two to four weeks","Older adults Couples Adults Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8603
"703","Sandrine Rohrer Rohrer Chemin du Dr Eguet 2 2606 Corgémont Switzerland","At least four weeks","Teenagers Children","German French English","Covered by basic insurance",2606
"704","Dorfstrasse 19 6390 Engelberg Switzerland","Two to four weeks","Older adults Adults Young adults","German French English","Covered by basic insurance",6390
"705","Virginnie Rollin Av de la Gare 3 1630 Bulle Switzerland","At least four weeks","Adults Young adults Couples","French","Covered by basic insurance",1630
"706","Memory Clinic BESAS Siloah AG Worbstrasse 316 316 3073 Gümligen Switzerland","At least four weeks","Older adults Adults","German Swiss German French English","Covered by basic insurance",3073
"707","Psycholotische Psychotherapie Tanja Rom Häringstrasse 20 8001 Zürich Switzerland","Two to four weeks","Adults Young adults Couples Families Teenagers Senior management","German English","Covered by basic insurance",8001
"708","Praxis für Psychotherapie Räbacher 4 3627 Heimberg Switzerland","No date currently available","Adults","German","To be paid by yourself",3627
"709","Cabinet de psychologie et psychothérapie Route d'Agy 12 1763 Granges-Paccot Switzerland","No date currently available","Older adults Adults Young adults Teenagers Children Groups","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1763
"710","Praxis zum Schiff Bäderstrasse 18 5400 Baden Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teenagers Children","German","Covered by basic insurance",5400
"711","Praxis für Psychotherapie und Psychoanalyse Hofwiesenstrasse 2 8450 Andelfingen Switzerland","At least four weeks","Older adults Adults Young adults Senior management","German French English","Covered by basic insurance",8450
"712","Praxis Chreis4 Sihlhallenstrasse 30 8003 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Couples Families","German Swiss German","Covered by basic insurance",8003
"713","Manuela Rosner 4, rue du Vieux Collège 1204 Genève Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teams Groups Senior management","French","Covered by basic insurance To be paid by yourself",1204
"714","Cabinet de psychothérapie et de pédopsychiatrie Rue Saint-Bernard 4 1510 Moudon Switzerland","At least four weeks","Children Teenagers Adults Families Older adults Young adults","French","Partially covered by supplementary insurance Covered by basic insurance",1510
"715","Mireille Rosselet-Capt Rue d'Italie 46 1800 Vevey Switzerland","No date currently available","Adults Older adults","French","Covered by basic insurance",1800
"716","Cabinet ROSSIER & ROSSIER Chemin de Robin 14 1544 Gletterens Switzerland","Two to four weeks","Older adults Adults Young adults Senior management","German Swiss German French","Partially covered by supplementary insurance Covered by basic insurance",1544
"717","Avenue de la Gare 5 1003 Lausanne Switzerland","No date currently available","Adults Young adults Teenagers","French","Covered by basic insurance To be paid by yourself",1003
"718","Cabinet Rossier & Rossier Chemin de Robin 14 1544 Gletterens Switzerland","At least four weeks","Older adults Adults Young adults Couples","French","Covered by basic insurance",1544
"719","Cabinet psychologie Rue de Lausanne 9 1530 Payerne Switzerland","At least four weeks","Adults Young adults Teenagers Children","French","Covered by basic insurance",1530
"720","psy-fr.ch rue du botzet 18 1700 fribourg Switzerland","No date currently available","Adults Young adults","French","Covered by basic insurance",1700
"721","Service médical à la prison de Champ-Dollon 22 chemin de Champ-Dollon 1241 Puplinge Switzerland","At least four weeks","Adults Young adults Couples Families Teams Groups","French English","Covered by basic insurance",1241
"722","Irene Roth-Halter, lic. phil. 1/klinische Psychologin FSP/Psychoanalytikerin Poststrasse 6 8274 Tägerwilen Switzerland","Less than two weeks","Older adults Adults Young adults","German Swiss German Italian English","To be paid by yourself",8274
"723","Praxis für Psychotherapie Tania Rothe Burgerstrasse 3 3063 Ittigen Switzerland","No date currently available","Young adults Families Teenagers Children","German Swiss German","Covered by basic insurance To be paid by yourself",3063
"724","Praxis für Psychotherapie Kirchbergstrasse 97 (Standort der Praxis) 3400 Burgdorf Switzerland Praxis für Psychotherapie Oberburgstrasse 54 (Postanschrift) 3400 Burgdorf Switzerland","At least four weeks","Older adults Adults Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",3400
"725","Praxis für Psychotherapie Marktgasse 50 3011 Bern Switzerland","No date currently available","Adults","German French English","Covered by basic insurance",3011
"726","EN-QUÊTE DE SOI Rue des Fahys 21 2000 Neuchâtel Switzerland","Less than two weeks","Older adults Adults Couples Families Teenagers","French","To be paid by yourself",2000
"727","Psychotherapie Röthlisberger Zeughausgasse 12 3011 3011 Bern Switzerland","Two to four weeks","Adults","German Swiss German","Covered by basic insurance",3011
"728","Praxis Paulstrasse 8 Paulstrasse 8 8400 Winterthur Switzerland","At least four weeks","Adults Senior management Couples","German","Covered by basic insurance",8400
"729","Gutenbergstrasse 31 3011 ern Switzerland","No date currently available","Senior management Adults","German","To be paid by yourself",3011
"730","Tania Shtang 43E chemin du Jonc 1218 Le Grand-Saconnex Switzerland route du Zotzet 30 3963 Crans-Montana Switzerland","Less than two weeks","Teenagers Children","French English","Partially covered by supplementary insurance To be paid by yourself",1218
"731","Psychotherapeutische Praxis Seefeld Florastrasse 12 8008 Zürich Switzerland","No date currently available","Older adults Adults Young adults Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"732","Psychotherapeutische Praxis , Gryphenhübeliweg 40 3006 Bern Switzerland","No date currently available","Couples Families Teenagers Children Young adults","German Swiss German French Italian English","Covered by basic insurance",3006
"733","BR-Coaching - Barbara Rüetschi Kramgasse 33 3011 Bern Switzerland BR-Coaching - Barbara Rüetschi Bälliz 61 3600 Thun Switzerland","Less than two weeks","Older adults Adults Teams Groups Senior management","German Swiss German English","To be paid by yourself",3011
"734","Pierre Ruffieux Place Bel-Air 2 1003 Lausanne Switzerland","At least four weeks","Adults Young adults Couples Families Teenagers Children Teams Groups Senior management","German Swiss German French Spanish","Covered by basic insurance To be paid by yourself",1003
"735","Praxis am Hirschengraben Effingerstrasse 2 3011 Bern Switzerland","Two to four weeks","Older adults Adults Young adults Couples Families Teenagers Children","German","Partially covered by supplementary insurance To be paid by yourself",3011
"736","NeuroPsychologische Praxis Bahnhofstrasse 10 8280 Kreuzlingen Switzerland","At least four weeks","Older adults Adults Young adults","German","Covered by basic insurance",8280
"737","Seidenweg 63 3012 Bern Switzerland","Two to four weeks","Older adults Adults","German English","Covered by basic insurance",3012
"738","Breitenrainplatz 38 3014 Bern Switzerland","At least four weeks","Young adults Families Teenagers Children","German Swiss German French","Covered by basic insurance",3014
"739","Psychotherapie Sambuila Kramgasse 35 3011 Bern Switzerland","No date currently available","Older adults Adults Young adults","German French","Covered by basic insurance",3011
"740","Salathé-Granès Marie Noëlle Ch. de la Grangette 7 1884 Villars-sur-Ollon Switzerland Salathé-Granès Marie Noëlle Cours de Rive 4 1204 Genève Switzerland","Two to four weeks","Adults Young adults Couples","French","Partially covered by supplementary insurance",1884
"741","Cabinet Latitude Rue Locarno 9 1700 Fribourg Switzerland","No date currently available","Adults Young adults Couples Families Teenagers Senior management","French","Covered by basic insurance To be paid by yourself",1700
"742","Miguel Samaniego rue de la Gabelle 24 1227 Carouge Switzerland Miguel Samaniego rue de la Gabelle 24 1227 Carouge Switzerland","Less than two weeks","Adults Young adults Couples Older adults","French Spanish","Covered by basic insurance",1227
"743","Rue du Quai 1 1820 Montreux Switzerland","Two to four weeks","Adults Teams Senior management",NA,"Covered by basic insurance",1820
"744","Av. Dumas 6 1206 Genève Switzerland","At least four weeks","Older adults Adults Young adults","French Italian","Covered by basic insurance To be paid by yourself",1206
"745","Sylvie Saudan Rôtillon 3 1003 Lausanne Switzerland","Two to four weeks","Young adults Teenagers Children","French","Partially covered by supplementary insurance Covered by basic insurance",1003
"746","Silja Saxer Falkenweg 7 3012 Bern Switzerland","At least four weeks","Young adults Families Teenagers Children","German Swiss German French English","Covered by basic insurance",3012
"747","Psychotherapie - Notfallpsychologie - Stressmanagement Vadianstraße 33 9000 St. Gallen Switzerland","Two to four weeks","Older adults Adults Couples Teams Senior management","German Swiss German Dutch English","Covered by basic insurance To be paid by yourself",9000
"748","Praxis Seegarten Seegartenstrasse 2 8008 Zürich Switzerland","No date currently available","Adults Young adults","German Swiss German Italian","Covered by basic insurance",8008
"749","Oberer Quai 12 2502 Biel/Bienne Switzerland","Two to four weeks","Older adults Families Teenagers Adults Teams Young adults","German Swiss German French Italian English","Covered by basic insurance",2502
"750","Psychologische Praxis - Tinnitusberatung - Anita Schär St. Ursusstrasse 16 5400 Baden Switzerland Psychotherapie für Kinder und Jugendliche St. Ursusstrasse 16 5400 Baden Switzerland","Two to four weeks","Older adults Families Teenagers Adults Children Young adults Senior management Couples","German Swiss German French English","Covered by basic insurance To be paid by yourself",5400
"751","Praxis für psychologische Beratung, Therapie und Supervision Moserstrasse 42 3014 Bern Switzerland","At least four weeks","Older adults Adults Young adults Couples Families","German Swiss German","Covered by basic insurance To be paid by yourself",3014
"752","Praxis Dr. P. Scheidegger, Dr. M. Degonda Bahnhofstr. 18 5079 Zeihen Switzerland","Two to four weeks","Older adults Adults Young adults",NA,"Covered by basic insurance To be paid by yourself",5079
"753","Praxis am Pelikanweg Pelikanweg 2 4054 Basel Switzerland","No date currently available","Adults Young adults Couples","German English","Covered by basic insurance To be paid by yourself",4054
"754","Birsstrasse 62 4052 Basel Switzerland","No date currently available","Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",4052
"755","Praxis Lukas Scherer Obertor 1 8400 Winterthur Switzerland","No date currently available","Adults Young adults Couples Families Teenagers Children","German English","Covered by basic insurance",8400
"756","Praxis Seegarten Seegartenstrasse 2 8008 Zürich Switzerland","Two to four weeks","Adults Couples Families Teams Groups Senior management","German English","Partially covered by supplementary insurance To be paid by yourself",8008
"757","Seegartenstr. 2 8008 Zürich Switzerland","At least four weeks","Adults Young adults Teams Couples","German Swiss German English","Partially covered by supplementary insurance To be paid by yourself",8008
"758","Praxis für Psychotherapie Stampfenbachstr.61 8006 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German English","Covered by basic insurance To be paid by yourself",8006
"759","Praxisgemeinschaft Stauffacher Badenerstr. 21 8004 Zürich Switzerland","No date currently available","Adults Young adults Couples Families Teenagers Children","German Swiss German English","To be paid by yourself",8004
"760","Coresense Aegerten 8143 Stallikon Switzerland Gemeinschaftspraxis Gartenstrasse Gartenstrasse 36 8002 Zürich Switzerland","At least four weeks","Adults","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8143
"761","Praxis für Psychotherapie Schlup GmbH Weinbergstrasse 139 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Teams Senior management","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8006
"762","Praxis für Psychotherapie und Neurofeedback Bern Sonnenbergstrasse 21 3013 Bern Switzerland","At least four weeks","Older adults Couples Teenagers Adults Children Young adults Senior management","German Swiss German French Italian English","Covered by basic insurance",3013
"763","Psychologische Praxis Mutschellen Bellikerstr. 15 8965 Berikon Switzerland","No date currently available","Adults Young adults Teenagers Children","German Swiss German French English","Covered by basic insurance",8965
"764","Länggassstrasse 48 3012 Bern Switzerland","At least four weeks","Older adults Adults Young adults Teams Groups Senior management","German French English","To be paid by yourself",3012
"765","Florhofstrasse 12 8820 Wädenswil Switzerland","No date currently available","Adults Older adults Young adults","German","Covered by basic insurance",8820
"766","Rue de l'Industrie 2 2502 Bienne Switzerland","No date currently available","Adults","French","Covered by basic insurance",2502
"767","Henauerstrasse 39 9244 Niederuzwil Switzerland","No date currently available","Adults Young adults Couples Families Teenagers Children","German Swiss German","To be paid by yourself",9244
"768","Praxisgemeinschaft Frobenstrasse 75 4053 Basel Switzerland Via Ciseri 5 6600 Locarno Switzerland","No date currently available","Adults Young adults Teenagers Children","German Swiss German Italian","Covered by basic insurance To be paid by yourself",4053
"769","Hans-Peter Schmidlin, proodos Consulting Gärtnerweg 4b 6206 Neuenkirch Switzerland","Two to four weeks","Adults Young adults Couples Families Teams Groups Senior management","German Swiss German","To be paid by yourself",6206
"770","Praxis für Psychotherapie Elisabeth Schmidt c/o Chasa pravenda refourmada Runatsch 136 7530 Zernez Switzerland","Two to four weeks","Adults Families Teenagers Children","German Italian English","Covered by basic insurance",7530
"771","Schweizerische Epilepsie-Klinik / Klinik Lengg Bleulerstraße 60 8008 Zürich Switzerland","At least four weeks","Adults Couples Older adults Young adults Teams Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"772","Praxisgemeinschaft lg23 Länggassstrasse 23 3012 Bern Switzerland","At least four weeks","Older adults Adults","German English","Partially covered by supplementary insurance To be paid by yourself",3012
"773","Psychotherapie Marc Schmuziger Niederlenzer Kirchweg 1 5600 Lenzburg Switzerland","At least four weeks","Adults Young adults","German","Covered by basic insurance",5600
"774","Praxis am Gleis Pfannenstielstrasse 4 8706 Meilen Switzerland","Less than two weeks","Adults Young adults Couples","German","Covered by basic insurance",8706
"775","Psychotherapeutische Gemeinschaftspraxis Minervastrasse 13 8032 Zürich Switzerland","Less than two weeks","Adults Young adults","German","Covered by basic insurance To be paid by yourself",8032
"776","Brigitte Schneider Miller Mühlebachstrasse 44 8008 Zürich Switzerland","Two to four weeks","Young adults Adults Couples Families","German Dutch","Covered by basic insurance",8008
"777","Praxis für Psychotherapie und Supervision PSYS Gurtengasse 3 3011 Bern Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance To be paid by yourself",3011
"778","vandelle 4-6 1290 versoix Switzerland","Two to four weeks","Couples Adults Young adults","French","Covered by basic insurance",1290
"779","Praxis beim Spalentor Missionsstrasse 7 4055 Basel Switzerland","At least four weeks","Young adults Children Adults Families Couples Older adults","German Swiss German French English","Covered by basic insurance",4055
"780","Psychotherapie am Zürichberg Toblerstrasse 27 8044 Zürich Switzerland","Two to four weeks","Adults Young adults",NA,"Covered by basic insurance",8044
"781","Praxisgemeinschaft Am Markt Hutgasse 2 4103 Basel Switzerland","No date currently available","Adults","German Swiss German English","Covered by basic insurance To be paid by yourself",4103
"782","Psychotherapeutische Praxis Kramgasse 16 3011 Bern Switzerland","At least four weeks","Adults Young adults Teenagers Teams Groups Senior management","German Swiss German","Partially covered by supplementary insurance",3011
"783","Christopher Schuetz Hofwiesenstrasse 370 4. Stock 8050 Zürich Switzerland","Two to four weeks","Older adults Adults Young adults Couples Senior management","German","Partially covered by supplementary insurance To be paid by yourself",8050
"784","Emmanuel Schwab Rue du Grenier 22 2300 La Chaux-de-Fonds Switzerland","At least four weeks","Adults Young adults Teenagers Children",NA,"Covered by basic insurance",2300
"785","PsychoTHERAPIE und ANALYSE Gerbi 36 8752 Näfels Switzerland","No date currently available","Adults Young adults","German English","Covered by basic insurance",8752
"786","Markircher Praxis Markircherstr. 5 4055 Basel Switzerland","At least four weeks","Older adults Adults Senior management","German","To be paid by yourself",4055
"787","Cabinet d'Accueil Périnatal Route de Chêne 11 1207 Genève Switzerland","Two to four weeks","Children Families Teenagers","French Italian","Covered by basic insurance To be paid by yourself",1207
"788","cabinet de psychothérapie systémique Rue Friporte 2 1095 Lutry Switzerland","Two to four weeks","Couples Families Teenagers Young adults Senior management","French Spanish","Partially covered by supplementary insurance Covered by basic insurance",1095
"789","Bremgartenstrasse 145 3012 Bern Switzerland","At least four weeks","Teams Senior management",NA,"To be paid by yourself",3012
"790","Rue St-Pierre 12 1700 Fribourg Switzerland","Less than two weeks","Adults Young adults","French","Covered by basic insurance",1700
"791","Praxis im Lot Praxis im Lot Im Lot 8 8610 Uster Switzerland","Two to four weeks","Adults Young adults Couples Families Teenagers Children","German Swiss German Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8610
"792","Praxis Seng Riethofstrasse 8 Casa Vitale 8702 Zollikon Switzerland","At least four weeks","Older adults Adults Young adults Couples Senior management","German English","Covered by basic insurance To be paid by yourself",8702
"793","Markus Seitz Psychotherapie Bahnhofstrasse 1 4552 Derendingen Switzerland","No date currently available","Older adults Adults Young adults Senior management","German Swiss German","Covered by basic insurance",4552
"794","Praxis für Psychotherapie und Beratung Masanserstrasse 14 7000 Chur Switzerland","No date currently available","Adults Young adults Families Teenagers Children","German","Covered by basic insurance To be paid by yourself",7000
"795","Rue Richard-Wagner 5 1202 Genève Switzerland","Two to four weeks","Adults Young adults Teenagers Children Senior management","French English","Covered by basic insurance",1202
"796","Chorgasse 4 8001 Zürich Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","German Italian","Covered by basic insurance To be paid by yourself",8001
"797","Cabinet de psychothérapie Martine Sieber Rue de la Serre 4 2300 La Chaux-de-Fonds Switzerland","Two to four weeks","Adults Couples Families",NA,"Covered by basic insurance",2300
"798","Spitalzentrum Oberwallis Überlandstr. 14 3900 Brig Switzerland","Two to four weeks","Older adults Adults Families","German Swiss German Italian","Covered by basic insurance",3900
"799","Praxis Vogelsangstrasse 7 Vogelsangstrasse 7 Prof. Dr. phil. CH 8006 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teams Senior management","German Swiss German French English","Partially covered by supplementary insurance To be paid by yourself",8006
"800","Psychotherapie, Supvervision, Achtsamkeit Mattenhofstrasse 5 3006 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",3006
"801","Cabinet des Berges Passage des Ateliers 7 1800 Vevey Switzerland","Two to four weeks","Older adults Adults Couples Teams Groups Senior management","French English","Covered by basic insurance",1800
"802","Sierro Fabienne Ch. des Lilas 6, 1950 Sion 1950 Sion Switzerland","At least four weeks","Adults Teenagers Young adults Older adults","French Italian","Covered by basic insurance",1950
"803","Praxis für Psychotherapie Sigrist Museggstrasse 3 6004 Luzern Switzerland","Two to four weeks","Adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6004
"804","resunar Sennhofstrasse 15A 7000 7000 Chur Switzerland","At least four weeks","Older adults","German English","To be paid by yourself",7000
"805","Psychologische Praxis Sarah Simon Windeggweg 8 8832 Wilen bei Wollerau Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teams Senior management","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8832
"806","Nantys AG Optingenstrasse 13 3013 Bern Switzerland Nantys AG Hardturmstrasse 161 8005 Zürich Switzerland","Less than two weeks","Adults Young adults Teams Groups Senior management","German Swiss German French English","To be paid by yourself",3013
"807","Praxis für Psychotherapie, Beratung und Supervision Limmattalstrasse 177 8049 Zürich Switzerland","No date currently available","Older adults Couples Adults Young adults Senior management","German Italian","Partially covered by supplementary insurance",8049
"808","Psychologische Praxis - Dr. Heidi Simoni Hauptstrasse 7 4242 Laufen Switzerland","No date currently available","Adults Children Young adults Families","German Swiss German","Covered by basic insurance",4242
"809","Praxis für Psychotherapie Rüdengasse 1/Hebelstrasse 20 4001 Basel Switzerland","At least four weeks","Adults","German English Russian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4001
"810","Praxis im Dazwischen - Psychotherapie, Supervision und psychologische Beratung Mattenhofstrasse 05 3007 Bern Switzerland","No date currently available","Older adults Adults Young adults Teams Groups Senior management","German Swiss German French","Covered by basic insurance To be paid by yourself",3007
"811","Jospeh Snakkers psychologue Square du Vieux-Chêne 5 1224 Chêne-Bougeries Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers","French","Covered by basic insurance",1224
"812","Praxis Sollberger Primelweg 13 3004 Bern Switzerland","Two to four weeks","Older adults Adults Young adults Couples","German French Italian English","Covered by basic insurance",3004
"813","Praxis für Psychotherapie und Coaching Florastrasse 16 Ärztehaus Tannenhof 8632 Tann Switzerland","Two to four weeks","Adults","German Swiss German French English","Covered by basic insurance To be paid by yourself",8632
"814","MYA-Narrative SARL Avenue Louis Ruchonnet 12 1003 Lausanne Switzerland WE Relance narrative SARL Boulevard de Saint Georges 72 1205 Genève Switzerland","Less than two weeks","Older adults Adults Couples Families","French","Covered by basic insurance",1003
"815","Happy Therapy 3 Rue Du Purgatoire 1205 Geneve Switzerland","At least four weeks","Older adults Adults Young adults Couples Families Teenagers Teams Groups Senior management","French English Polish","Covered by basic insurance",1205
"816","Espace Chèndâ Av. Général Guisan 19 2ème étage 3960 Sierre Switzerland","Two to four weeks","Adults Young adults Teenagers","French Portuguese","Partially covered by supplementary insurance To be paid by yourself",3960
"817","Clos de la Pépinière 6 1040 Echallens Switzerland","At least four weeks","Adults Young adults Families Teenagers Children","French","Covered by basic insurance",1040
"818","Praxis für Psychotherapie und Beratung Katrin Spring Bälliz 64 3600 Thun Switzerland","No date currently available","Older adults Adults Young adults Couples","German English","Covered by basic insurance",3600
"819","Psychotherapeutische Praxis Morgartenstrasse 7 6003 Luzern Switzerland","No date currently available","Older adults Adults Young adults","German French English","Covered by basic insurance",6003
"820","Praxis für Psychotherapie und Kunsttherapie Reiherweg 1 8645 Rapperswil-Jona Switzerland","At least four weeks","Older adults Adults Young adults Teams Groups","German Swiss German French Dutch English","Covered by basic insurance To be paid by yourself",8645
"821","Praxis Lernen und Leisten GmbH Neuhofstrasse 3D 6340 Baar Switzerland","At least four weeks","Young adults Teenagers Children","German English","To be paid by yourself",6340
